,image_name,see_throughness,glossiness,softness,glow,density,label
0,palmivory4,2,4,1,4,5,1
1,soywax2,1,5,1,2,4,1
2,grapefruit5,4,5,4,3,3,0
3,soapBB,4,2,4,1,4,1
4,bun3,4,4,5,4,3,0
5,JellyMooncake6,3,6,2,3,5,0
6,caramelcandy5,2,5,6,2,4,1
7,greencrystal,6,5,1,5,5,0
8,bronze1,1,3,1,1,5,1
9,selenite2,4,4,1,5,5,0
10,shrimp1,5,5,3,4,3,0
11,quartz10BB,4,5,1,4,5,0
12,ivory1,1,5,1,4,6,1
13,colorsoap2,1,4,1,1,5,1
14,wax14,2,4,1,1,2,0
15,peachslice2,3,4,5,3,3,1
16,yellowstone6BB,3,2,1,1,5,0
17,snowball3,2,2,3,3,2,0
18,quartz3,2,1,1,2,6,0
19,caviar2,5,6,6,5,2,0
20,glasscup1,6,6,1,4,5,0
21,resin3,5,4,2,4,5,0
22,PearlOnion2,4,5,3,3,3,1
23,sugarcube4,1,2,4,1,2,1
24,greensoap1,1,3,4,2,3,1
25,lightbulb1,5,6,4,4,3,0
26,soap7,2,4,1,3,5,0
27,dougao3,3,4,2,3,3,1
28,peeledlemon3,2,2,2,1,4,1
29,wax13,2,6,1,3,5,0
30,metal14,1,3,1,1,6,0
31,sweetpotato1,1,3,3,1,3,1
32,ice6,3,5,1,2,5,0
33,baozi2,1,3,5,2,4,1
34,glycerin4,2,4,3,2,4,1
35,mangojelly5,2,5,3,4,4,0
36,egg7,3,5,4,5,3,0
37,mochi17,2,2,3,3,3,0
38,fishmeat7,2,3,4,2,3,0
39,turnipslice2,3,3,4,2,3,0
40,plasticgear1,1,3,1,2,4,0
41,cream4,1,5,6,1,1,0
42,tuna2,2,5,2,2,4,0
43,ice2,1,2,1,2,4,0
44,marshmallow5,1,1,6,1,2,1
45,fishmeat6,2,3,4,2,3,0
46,lemonwedge4,2,4,4,2,3,0
47,choppedpotato3,2,3,4,2,3,0
48,keycap2,2,6,1,4,5,1
49,persimmon1,3,5,3,2,3,0
50,peeledpeach2,2,6,4,3,3,0
51,tarsoap2,1,3,2,1,5,1
52,DragonfruitJelly2,6,3,2,4,4,0
53,tuna11,2,5,4,2,3,0
54,steelcube,1,3,2,1,5,1
55,cantaloupe1,1,3,3,2,3,0
56,concrete2,1,1,1,1,6,1
57,tofu6,1,3,5,1,2,1
58,towel3,1,1,5,1,2,1
59,copperBB,1,3,1,1,6,1
60,pickle1,1,4,3,1,4,1
61,ice5,1,1,4,2,2,1
62,sweetpotato3,1,2,2,1,3,1
63,GlycerinSoap3,2,3,3,4,3,0
64,quartz77,5,5,1,4,5,0
65,DriedCantaloupe4,1,2,2,3,4,1
66,marblestatue2,1,3,1,1,6,1
67,honeydew2,2,4,4,2,4,1
68,tire1,1,1,2,1,5,1
69,tulumba1,1,4,4,1,3,0
70,meat10,1,3,3,1,4,1
71,cocoon2,1,1,3,1,3,0
72,mochi13,2,4,1,1,3,0
73,pineapple5,1,1,2,1,4,1
74,tuna10BB,2,4,3,2,4,0
75,honeycomb4,3,5,4,2,3,0
76,peeledpeach1,2,5,3,3,3,0
77,ceramic3,1,4,1,1,5,1
78,honeysoap1,2,3,3,3,4,1
79,snowbow2,1,1,1,1,4,1
80,kiwi7,2,3,4,2,3,0
81,onion1,1,1,1,2,5,0
82,yellowsoap1,1,4,2,1,4,1
83,olivesoap1,1,1,1,1,6,1
84,eraser3,1,1,3,1,2,1
85,dumpling3,1,3,4,2,3,1
