,image_name,see_throughness,glossiness,softness,glow,density,label
0,palmivory4,1,6,3,2,4,1
1,soywax2,1,5,2,2,3,1
2,grapefruit5,1,4,3,1,3,1
3,soapBB,1,1,1,1,6,1
4,bun3,4,2,3,2,4,0
5,JellyMooncake6,2,5,3,2,4,1
6,caramelcandy5,1,5,6,1,5,1
7,greencrystal,1,2,1,1,6,1
8,bronze1,2,2,1,1,3,1
9,selenite2,2,2,2,2,4,1
10,shrimp1,5,3,3,1,3,0
11,quartz10BB,2,3,1,4,5,1
12,ivory1,1,1,1,1,6,1
13,colorsoap2,1,3,2,1,4,1
14,wax14,4,2,1,2,4,1
15,peachslice2,2,2,5,2,3,1
16,yellowstone6BB,3,2,5,2,4,0
17,snowball3,1,2,2,3,4,1
18,quartz3,3,3,6,2,4,0
19,caviar2,6,4,4,4,3,0
20,glasscup1,6,6,1,1,3,0
21,resin3,3,2,2,2,4,0
22,PearlOnion2,1,3,2,2,2,0
23,sugarcube4,1,1,1,1,4,1
24,greensoap1,2,3,4,2,3,1
25,lightbulb1,4,5,2,2,4,0
26,soap7,1,1,3,1,4,1
27,dougao3,2,2,3,1,5,1
28,peeledlemon3,2,2,4,1,3,0
29,wax13,4,3,4,2,3,0
30,metal14,1,2,1,1,5,1
31,sweetpotato1,1,1,2,1,4,1
32,ice6,1,3,1,1,4,1
33,baozi2,1,1,1,1,4,1
34,glycerin4,3,3,4,2,4,1
35,mangojelly5,3,3,3,2,4,0
36,egg7,2,3,5,2,3,0
37,mochi17,2,2,3,2,3,1
38,fishmeat7,2,2,2,1,4,1
39,turnipslice2,2,1,4,1,3,1
40,plasticgear1,1,3,1,2,3,0
41,cream4,1,2,6,1,2,1
42,tuna2,2,2,4,2,2,0
43,ice2,2,2,2,1,3,1
44,marshmallow5,1,1,3,1,3,0
45,fishmeat6,2,3,2,2,3,0
46,lemonwedge4,2,3,5,1,3,0
47,choppedpotato3,1,3,3,1,3,1
48,keycap2,1,3,3,2,3,1
49,persimmon1,1,4,2,1,3,0
50,peeledpeach2,1,4,3,2,6,0
51,tarsoap2,1,1,1,1,6,1
52,DragonfruitJelly2,2,3,4,2,3,0
53,tuna11,3,2,2,2,3,1
54,steelcube,1,2,1,1,6,1
55,cantaloupe1,1,2,3,1,3,1
56,concrete2,1,1,1,1,5,1
57,tofu6,1,4,6,1,3,1
