,image_name,see_throughness,glossiness,softness,glow,density,label
0,palmivory4,2,4,1,1,5,1
1,soywax2,1,5,1,1,5,1
2,grapefruit5,3,4,5,4,2,0
3,soapBB,2,2,3,2,4,1
4,bun3,5,5,5,5,2,1
5,JellyMooncake6,2,4,2,2,5,1
6,caramelcandy5,1,2,6,1,2,1
7,greencrystal,2,4,1,1,6,1
8,bronze1,2,5,2,2,4,1
9,selenite2,1,2,2,1,4,1
10,shrimp1,4,3,5,4,2,0
11,quartz10BB,3,3,2,3,5,1
12,ivory1,1,3,5,1,5,1
13,colorsoap2,2,4,3,1,2,0
14,wax14,2,5,1,4,5,1
15,peachslice2,2,4,6,1,2,0
16,yellowstone6BB,5,2,1,2,3,0
17,snowball3,5,2,6,2,1,1
18,quartz3,4,3,2,2,4,0
19,caviar2,6,4,6,4,1,0
20,glasscup1,6,5,2,3,3,0
21,resin3,4,4,2,2,3,0
22,PearlOnion2,1,3,4,1,3,1
23,sugarcube4,1,1,1,1,6,1
24,greensoap1,2,4,4,2,3,1
25,lightbulb1,5,6,3,3,5,1
26,soap7,1,4,2,2,4,1
27,dougao3,5,5,2,2,1,1
28,peeledlemon3,4,3,6,2,2,0
29,wax13,4,2,2,6,4,0
30,metal14,2,2,2,1,5,1
31,sweetpotato1,2,2,2,1,5,1
32,ice6,2,3,1,2,5,0
33,baozi2,1,1,6,1,3,1
34,glycerin4,3,3,4,1,4,0
35,mangojelly5,2,3,5,1,2,1
36,egg7,2,4,5,2,2,1
37,mochi17,4,3,2,1,3,1
38,fishmeat7,3,4,1,2,5,0
39,turnipslice2,4,3,4,2,3,1
40,plasticgear1,4,4,2,1,3,1
41,cream4,4,2,6,1,1,1
42,tuna2,3,4,3,1,2,1
43,ice2,3,3,3,4,4,1
44,marshmallow5,3,1,6,1,2,1
45,fishmeat6,4,4,3,1,2,0
46,lemonwedge4,4,4,5,1,3,0
47,choppedpotato3,3,2,3,1,4,1
48,keycap2,2,4,3,1,2,1
49,persimmon1,3,4,5,1,2,1
50,peeledpeach2,4,5,5,1,3,1
51,tarsoap2,1,2,1,1,5,1
52,DragonfruitJelly2,4,4,5,2,2,0
53,tuna11,4,3,4,2,4,0
54,steelcube,2,3,1,1,5,1
55,cantaloupe1,2,3,2,1,4,1
56,concrete2,1,1,1,1,6,1
57,tofu6,2,3,6,1,3,1
58,towel3,1,1,3,1,1,1
59,copperBB,2,2,1,1,5,1
60,pickle1,1,2,4,1,4,1
61,ice5,4,4,4,2,2,0
62,sweetpotato3,2,3,2,1,4,1
63,GlycerinSoap3,1,5,2,1,2,0
64,quartz77,1,5,1,2,5,0
65,DriedCantaloupe4,4,4,2,2,4,0
66,marblestatue2,1,3,1,1,6,0
67,honeydew2,2,3,5,1,3,0
68,tire1,1,1,1,1,6,1
69,tulumba1,1,5,5,1,3,1
70,meat10,1,1,4,1,4,1
71,cocoon2,2,1,5,1,2,1
72,mochi13,3,3,3,1,2,1
73,pineapple5,2,1,3,2,3,1
74,tuna10BB,2,3,4,1,4,0
75,honeycomb4,4,4,5,2,3,1
76,peeledpeach1,3,4,3,2,3,0
77,ceramic3,1,5,1,1,5,1
78,honeysoap1,3,3,2,2,4,0
79,snowbow2,4,3,5,2,1,0
80,kiwi7,3,4,6,2,2,1
81,onion1,3,4,2,2,3,1
82,yellowsoap1,2,2,2,1,5,1
83,olivesoap1,1,2,1,1,5,1
84,eraser3,1,1,4,1,1,1
85,dumpling3,3,3,5,2,2,1
86,wax2,2,2,2,6,4,1
87,peeledorange3,3,3,5,2,3,1
88,resin2,5,4,1,4,5,1
89,salmon5,3,3,5,1,4,1
90,selenite3,4,3,1,1,6,0
91,gummi30,4,4,2,2,4,1
92,marzipan3,2,2,5,1,3,1
93,glasschess1,1,1,1,1,3,1
94,orangewedge5,3,3,5,1,2,0
95,peeledpumkin4,2,3,4,1,2,1
96,dragonfruit7,3,3,5,1,2,1
97,beewax12,1,2,2,1,3,1
98,fluorite1,2,2,3,1,3,1
