,image_name,see_throughness,glossiness,softness,glow,density,label
0,palmivory4,1,4,1,1,5,0
1,soywax2,1,4,1,1,5,1
2,grapefruit5,2,5,5,1,4,1
3,soapBB,2,2,5,2,3,1
4,bun3,1,2,5,1,3,0
5,JellyMooncake6,1,4,4,1,3,0
6,caramelcandy5,1,1,6,1,3,1
7,greencrystal,1,2,1,1,5,1
8,bronze1,1,2,1,1,4,1
9,selenite2,1,2,1,1,4,1
10,shrimp1,5,3,6,1,3,0
11,quartz10BB,2,2,2,1,4,0
12,ivory1,1,1,1,1,5,1
13,colorsoap2,1,1,2,1,3,1
14,wax14,2,2,2,1,4,0
15,peachslice2,1,1,6,1,3,1
16,yellowstone6BB,1,1,1,1,5,1
17,snowball3,1,3,2,2,4,0
18,quartz3,4,4,2,3,5,0
19,caviar2,5,5,6,4,2,0
20,glasscup1,6,6,1,1,3,0
21,resin3,2,2,2,2,4,0
22,PearlOnion2,2,3,2,2,4,0
23,sugarcube4,1,1,1,1,6,1
24,greensoap1,1,4,2,2,3,1
25,lightbulb1,3,5,1,1,5,0
26,soap7,1,1,3,1,4,1
27,dougao3,1,4,4,1,4,0
28,peeledlemon3,2,2,6,2,3,0
29,wax13,2,4,2,3,3,0
30,metal14,1,3,4,2,4,1
31,sweetpotato1,1,2,3,1,4,1
32,ice6,2,5,1,2,4,0
33,baozi2,1,1,6,2,3,1
34,glycerin4,1,3,2,2,3,1
35,mangojelly5,1,3,5,2,3,0
36,egg7,1,4,4,2,3,0
37,mochi17,2,2,3,2,2,1
38,fishmeat7,1,3,3,2,3,1
39,turnipslice2,1,2,4,2,3,0
40,plasticgear1,1,2,3,2,3,1
41,cream4,2,2,6,1,1,1
42,tuna2,2,4,2,2,3,0
43,ice2,2,3,3,2,3,0
44,marshmallow5,1,2,6,1,2,0
45,fishmeat6,2,4,2,2,3,0
46,lemonwedge4,1,4,5,3,3,0
47,choppedpotato3,1,3,4,2,3,1
48,keycap2,1,4,2,2,4,0
49,persimmon1,1,3,2,2,4,0
50,peeledpeach2,1,5,3,1,3,0
51,tarsoap2,1,1,1,1,6,1
52,DragonfruitJelly2,2,3,5,2,2,1
53,tuna11,2,3,3,2,3,1
54,steelcube,1,2,2,1,4,1
55,cantaloupe1,1,3,4,2,3,1
56,concrete2,1,1,2,1,2,1
57,tofu6,1,4,6,2,2,1
58,towel3,1,1,6,1,2,1
59,copperBB,1,2,3,1,4,1
60,pickle1,1,4,5,1,3,1
61,ice5,2,4,2,2,4,0
62,sweetpotato3,1,2,3,1,3,1
63,GlycerinSoap3,1,3,1,1,5,0
64,quartz77,5,6,2,3,4,0
65,DriedCantaloupe4,1,2,4,1,3,0
66,marblestatue2,1,2,1,1,5,1
67,honeydew2,1,3,4,1,3,1
68,tire1,1,1,3,1,2,1
69,tulumba1,1,5,5,1,3,0
70,meat10,1,1,4,1,2,1
71,cocoon2,1,1,4,1,2,1
72,mochi13,1,5,5,2,3,0
73,pineapple5,1,2,4,1,3,1
74,tuna10BB,1,2,5,1,2,1
75,honeycomb4,2,4,5,1,2,0
76,peeledpeach1,1,4,4,2,3,0
77,ceramic3,1,4,2,1,5,1
78,honeysoap1,2,4,4,2,3,0
79,snowbow2,2,2,4,1,3,1
80,kiwi7,1,3,5,1,3,0
81,onion1,1,3,4,1,3,0
82,yellowsoap1,2,4,4,3,2,0
83,olivesoap1,1,2,3,1,3,1
84,eraser3,1,1,5,1,2,1
85,dumpling3,2,4,5,1,2,0
86,wax2,1,2,3,2,3,1
87,peeledorange3,3,2,5,2,2,0
88,resin2,6,5,2,4,5,0
89,salmon5,1,4,5,2,2,1
90,selenite3,2,3,3,2,4,1
91,gummi30,6,6,2,4,2,0
92,marzipan3,1,2,2,2,4,1
93,glasschess1,3,3,2,2,4,0
94,orangewedge5,4,4,5,4,2,0
95,peeledpumkin4,1,3,4,2,2,1
96,dragonfruit7,2,5,5,2,2,0
97,beewax12,1,4,4,2,2,0
98,fluorite1,4,4,2,4,3,0
99,bronzehead,2,4,1,2,4,1
100,beewax8,1,4,4,2,2,0
101,egg6,2,2,5,2,2,1
102,jade11,2,2,2,1,3,0
103,cheesewaxBB,1,1,4,2,2,1
104,lucitefruit3,4,5,2,2,4,0
105,bluejelly,2,4,2,2,4,0
106,tulumba4,2,4,5,2,2,0
107,eggyolk8,2,5,6,3,3,0
108,caramelcandy1,4,6,5,3,2,0
109,lucitefruit1,6,6,2,4,2,0
110,frostedglass2,5,4,2,3,3,0
111,brownrock,2,5,1,1,5,1
112,dragonfruit4,2,3,5,2,2,0
113,toy1,2,2,5,2,2,0
114,toy2BB,3,2,4,2,2,0
115,marshmallow2,2,2,6,2,1,1
116,maripan1,2,2,4,2,2,1
117,tarsoap1,1,1,5,1,3,1
118,mochi11,2,1,4,2,2,1
119,wood14,1,1,1,1,2,1
120,frostedglass3,4,3,2,2,2,0
121,Scallops3,2,4,5,2,2,0
122,carrotslice1,2,2,4,2,2,1
123,JellyMooncake1,5,5,2,3,3,0
124,meat1BB,1,1,3,1,3,1
125,cheese7,2,4,4,2,2,0
126,ambersoap,2,4,4,3,2,0
127,honeycomb3,3,5,2,2,2,0
128,cheesekeycap,2,4,5,2,2,0
129,marble3,2,3,2,2,2,0
130,SlicedBanana2,2,4,2,2,4,0
131,waxcube3,2,2,2,2,4,1
