,image_name,see_throughness,glossiness,softness,glow,density,label
0,palmivory4,1,6,1,4,4,1
1,soywax2,1,6,2,1,5,1
2,grapefruit5,1,3,5,1,3,0
3,soapBB,1,1,1,1,5,1
4,bun3,1,1,6,1,4,1
5,JellyMooncake6,1,6,1,1,5,1
6,caramelcandy5,1,2,6,1,4,1
7,greencrystal,1,1,1,1,2,1
8,bronze1,1,1,1,1,5,1
9,selenite2,1,1,3,5,4,0
10,shrimp1,1,1,6,4,3,0
11,quartz10BB,1,1,1,5,5,0
12,ivory1,1,1,1,1,6,1
13,colorsoap2,1,1,5,1,2,1
14,wax14,4,1,1,5,4,1
15,peachslice2,1,1,6,1,2,1
16,yellowstone6BB,1,1,1,2,5,1
17,snowball3,1,1,4,1,3,1
18,quartz3,1,1,1,2,4,1
19,caviar2,6,4,5,1,2,0
20,glasscup1,6,1,1,1,4,0
21,resin3,3,1,1,2,4,1
22,PearlOnion2,1,1,4,1,3,1
23,sugarcube4,1,1,3,1,2,1
24,greensoap1,1,6,3,1,2,1
25,lightbulb1,6,4,3,1,3,0
26,soap7,1,4,1,1,5,1
27,dougao3,1,4,4,1,2,1
28,peeledlemon3,1,3,4,1,3,1
29,wax13,5,1,4,1,3,0
30,metal14,1,1,1,1,6,1
31,sweetpotato1,1,1,3,1,2,1
32,ice6,1,1,1,1,4,1
33,baozi2,1,1,6,1,2,1
34,glycerin4,1,1,1,1,3,1
35,mangojelly5,6,2,3,1,5,1
36,egg7,1,6,6,1,2,1
37,mochi17,1,2,6,1,3,1
38,fishmeat7,1,2,5,2,2,1
39,turnipslice2,1,1,4,1,2,1
40,plasticgear1,1,6,1,1,3,1
41,cream4,1,6,6,1,1,1
42,tuna2,2,2,5,1,2,0
43,ice2,1,1,5,1,2,1
44,marshmallow5,1,2,6,1,1,1
45,fishmeat6,4,4,5,1,2,1
46,lemonwedge4,1,4,5,5,2,0
47,choppedpotato3,1,1,5,1,2,1
48,keycap2,1,6,1,1,3,0
49,persimmon1,1,5,2,1,1,0
