,image_name,see_throughness,glossiness,softness,glow,density,label
0,palmivory4,1,2,1,2,6,1
1,soywax2,1,5,1,3,5,1
2,grapefruit5,2,5,4,2,2,0
3,soapBB,2,2,2,3,6,1
4,bun3,2,1,6,4,2,0
5,JellyMooncake6,1,5,1,4,6,1
6,caramelcandy5,1,3,5,2,3,1
7,greencrystal,1,6,1,4,6,0
8,bronze1,1,2,1,2,5,1
9,selenite2,2,4,1,5,4,1
10,shrimp1,2,1,5,2,3,1
11,quartz10BB,1,2,1,2,6,0
12,ivory1,1,1,1,2,5,1
13,colorsoap2,1,2,1,1,6,1
14,wax14,3,2,1,5,4,0
15,peachslice2,1,2,5,3,2,1
16,yellowstone6BB,1,2,2,4,5,0
17,snowball3,1,2,6,1,3,1
18,quartz3,1,3,1,3,6,0
19,caviar2,3,6,5,2,2,0
20,glasscup1,6,5,1,2,4,0
21,resin3,2,2,1,2,5,0
22,PearlOnion2,1,1,1,4,4,0
23,sugarcube4,1,1,2,2,3,1
24,greensoap1,1,4,3,2,3,1
25,lightbulb1,3,5,2,2,3,0
26,soap7,1,1,2,1,2,1
27,dougao3,1,2,4,2,3,0
28,peeledlemon3,2,1,6,1,2,1
29,wax13,2,4,2,2,2,0
30,metal14,1,4,2,2,4,1
31,sweetpotato1,2,2,3,1,4,1
32,ice6,1,5,1,1,5,1
33,baozi2,1,2,2,1,4,1
34,glycerin4,2,3,1,2,5,0
35,mangojelly5,2,1,4,1,2,1
36,egg7,2,1,5,1,2,0
37,mochi17,1,3,5,2,2,0
38,fishmeat7,3,2,3,2,1,1
39,turnipslice2,2,2,5,2,2,1
40,plasticgear1,1,2,2,1,5,1
41,cream4,1,2,6,2,1,1
42,tuna2,1,3,5,2,2,1
43,ice2,2,3,5,2,2,1
44,marshmallow5,1,1,5,1,2,1
45,fishmeat6,2,2,5,1,3,1
46,lemonwedge4,2,1,5,1,2,0
47,choppedpotato3,1,3,2,2,5,1
48,keycap2,1,5,1,2,6,1
49,persimmon1,2,4,1,1,5,0
50,peeledpeach2,1,4,6,1,3,0
51,tarsoap2,1,2,1,1,6,1
52,DragonfruitJelly2,2,3,5,2,2,0
53,tuna11,2,3,5,1,2,1
54,steelcube,1,2,1,1,5,1
55,cantaloupe1,2,2,5,2,2,1
56,concrete2,1,1,1,1,5,1
57,tofu6,1,3,6,1,1,1
58,towel3,1,1,6,1,1,1
59,copperBB,1,2,1,1,6,1
60,pickle1,1,3,5,1,2,1
61,ice5,2,2,5,2,1,1
62,sweetpotato3,1,1,2,1,3,1
63,GlycerinSoap3,1,3,1,1,4,1
64,quartz77,2,4,1,2,6,0
65,DriedCantaloupe4,1,2,5,1,2,1
66,marblestatue2,1,3,1,1,6,1
67,honeydew2,1,2,6,1,1,0
68,tire1,1,2,3,1,4,1
69,tulumba1,1,5,3,1,3,1
70,meat10,1,1,4,1,3,1
71,cocoon2,1,2,6,1,1,1
72,mochi13,1,3,5,1,2,1
73,pineapple5,1,1,6,1,1,1
74,tuna10BB,2,1,5,1,2,1
75,honeycomb4,1,5,5,1,3,1
76,peeledpeach1,1,4,6,1,1,0
77,ceramic3,1,2,1,1,4,1
78,honeysoap1,2,2,3,1,4,1
79,snowbow2,1,2,4,1,3,0
80,kiwi7,1,2,6,2,1,1
81,onion1,1,1,3,1,2,1
82,yellowsoap1,1,2,1,2,6,1
83,olivesoap1,1,1,1,1,6,1
84,eraser3,1,1,4,1,3,1
85,dumpling3,1,4,5,1,2,1
86,wax2,1,2,3,1,5,1
87,peeledorange3,2,1,6,1,1,1
88,resin2,1,3,1,1,5,0
89,salmon5,2,3,5,1,2,1
90,selenite3,2,1,3,1,5,1
91,gummi30,2,5,2,2,5,0
92,marzipan3,1,2,5,1,1,1
93,glasschess1,4,2,1,2,4,0
94,orangewedge5,2,3,6,1,1,0
95,peeledpumkin4,1,1,6,1,2,1
96,dragonfruit7,1,4,5,1,2,0
97,beewax12,1,3,2,1,4,1
98,fluorite1,2,2,1,2,6,0
99,bronzehead,1,2,1,2,6,1
100,beewax8,1,2,1,1,3,1
101,egg6,1,2,1,1,2,1
102,jade11,1,1,1,1,4,1
103,cheesewaxBB,1,1,2,1,5,1
104,lucitefruit3,4,5,6,1,1,0
105,bluejelly,1,3,1,1,6,0
