,image_name,see_throughness,glossiness,softness,glow,density,label
0,palmivory4,1,5,1,1,5,1
1,soywax2,1,3,1,1,5,1
2,grapefruit5,2,3,5,1,3,0
3,soapBB,2,2,3,1,3,1
4,bun3,5,2,5,1,3,0
5,JellyMooncake6,2,4,1,1,3,0
6,caramelcandy5,1,4,6,1,3,1
7,greencrystal,5,3,1,1,4,0
8,bronze1,1,2,1,1,4,1
9,selenite2,2,2,1,1,5,1
10,shrimp1,5,2,5,1,1,0
11,quartz10BB,3,2,1,2,4,0
12,ivory1,1,1,1,1,5,1
13,colorsoap2,1,1,3,1,4,1
14,wax14,2,2,2,2,3,0
15,peachslice2,2,1,6,1,3,0
16,yellowstone6BB,2,2,1,1,5,0
17,snowball3,1,2,5,1,3,1
18,quartz3,2,2,1,2,4,0
19,caviar2,4,2,5,2,2,0
20,glasscup1,6,5,1,2,4,0
21,resin3,2,2,1,1,4,0
22,PearlOnion2,1,2,6,1,3,0
23,sugarcube4,1,1,1,1,4,1
24,greensoap1,1,4,1,1,4,1
25,lightbulb1,5,4,1,1,4,0
26,soap7,1,1,1,1,4,1
27,dougao3,1,3,2,1,4,0
28,peeledlemon3,1,1,5,1,3,0
29,wax13,2,2,1,1,3,0
30,metal14,1,3,1,1,5,1
31,sweetpotato1,1,1,1,1,5,1
32,ice6,2,2,1,1,4,0
33,baozi2,1,2,5,1,3,1
34,glycerin4,2,2,2,1,3,0
35,mangojelly5,2,1,3,1,4,0
36,egg7,1,5,1,2,4,1
37,mochi17,2,1,2,1,3,1
38,fishmeat7,2,2,1,1,4,1
39,turnipslice2,4,2,4,1,3,0
40,plasticgear1,1,4,1,1,4,1
41,cream4,1,2,6,1,2,1
42,tuna2,2,2,1,1,3,0
43,ice2,2,1,1,1,3,1
44,marshmallow5,1,1,5,1,2,1
45,fishmeat6,2,2,1,1,4,0
46,lemonwedge4,3,2,5,1,3,0
47,choppedpotato3,1,2,5,1,3,0
48,keycap2,1,5,1,1,5,0
49,persimmon1,1,2,4,1,3,0
50,peeledpeach2,1,3,5,1,3,0
