,image_name,see_throughness,glossiness,softness,glow,density,label
0,palmivory4,1,6,2,5,6,1
1,soywax2,1,5,3,4,6,1
2,grapefruit5,1,6,2,6,5,0
3,soapBB,1,1,4,1,5,1
4,bun3,3,1,4,1,2,1
5,JellyMooncake6,1,6,2,3,4,0
6,caramelcandy5,1,3,5,1,3,1
7,greencrystal,5,6,2,5,5,0
8,bronze1,1,3,1,1,6,1
9,selenite2,4,2,2,3,2,0
10,shrimp1,1,3,5,1,2,0
11,quartz10BB,4,4,1,4,6,0
12,ivory1,1,1,1,1,4,1
13,colorsoap2,1,2,3,1,3,1
14,wax14,2,3,1,4,3,1
15,peachslice2,1,2,6,1,2,1
16,yellowstone6BB,2,3,1,2,6,0
17,snowball3,1,3,3,1,2,1
18,quartz3,1,3,1,1,6,1
19,caviar2,3,6,6,4,1,0
20,glasscup1,6,6,1,1,6,0
21,resin3,3,3,1,2,6,0
22,PearlOnion2,1,5,3,1,2,1
23,sugarcube4,1,1,4,1,2,1
24,greensoap1,1,1,3,1,2,0
25,lightbulb1,6,6,5,1,1,0
26,soap7,1,1,2,1,3,1
27,dougao3,1,3,5,1,3,1
28,peeledlemon3,1,3,6,1,2,1
29,wax13,1,6,4,1,4,0
30,metal14,1,6,3,1,4,1
31,sweetpotato1,1,2,2,1,4,1
32,ice6,1,3,1,1,5,0
33,baozi2,1,2,6,1,2,1
34,glycerin4,2,4,2,1,3,0
35,mangojelly5,3,2,5,2,3,0
36,egg7,1,3,5,1,3,0
37,mochi17,1,1,2,1,5,1
38,fishmeat7,1,3,2,1,4,0
39,turnipslice2,1,2,5,1,3,1
40,plasticgear1,2,2,3,1,3,1
41,cream4,1,2,6,1,1,1
42,tuna2,2,3,4,2,4,1
43,ice2,1,2,3,1,4,0
44,marshmallow5,1,1,6,1,1,1
45,fishmeat6,3,6,4,2,3,0
46,lemonwedge4,1,6,4,2,3,0
47,choppedpotato3,1,6,1,1,6,1
48,keycap2,1,6,2,1,5,1
49,persimmon1,1,6,4,1,3,0
50,peeledpeach2,1,6,4,1,3,0
51,tarsoap2,1,1,2,1,5,1
52,DragonfruitJelly2,3,6,4,2,3,0
53,tuna11,2,3,4,2,2,0
54,steelcube,1,1,1,1,4,1
55,cantaloupe1,1,1,4,1,2,1
56,concrete2,1,1,1,1,5,1
57,tofu6,1,3,6,1,2,0
58,towel3,1,1,5,1,1,1
59,copperBB,1,2,1,1,6,1
60,pickle1,1,5,2,1,3,0
61,ice5,2,4,4,2,2,0
62,sweetpotato3,1,1,1,1,6,1
63,GlycerinSoap3,5,3,2,3,5,0
64,quartz77,3,4,1,2,6,1
65,DriedCantaloupe4,2,2,1,1,2,0
66,marblestatue2,1,2,1,1,6,1
67,honeydew2,1,2,3,1,4,1
68,tire1,1,1,1,1,4,1
69,tulumba1,1,6,6,1,2,1
70,meat10,1,3,2,1,4,1
71,cocoon2,1,1,5,1,2,1
72,mochi13,1,5,2,1,5,0
73,pineapple5,1,2,3,1,4,1
74,tuna10BB,2,3,5,1,3,1
75,honeycomb4,3,6,6,2,2,0
76,peeledpeach1,1,6,4,1,3,0
77,ceramic3,1,1,1,1,6,1
78,honeysoap1,3,4,2,2,4,0
79,snowbow2,1,2,3,1,3,1
80,kiwi7,1,5,5,1,2,1
81,onion1,3,5,4,1,3,1
82,yellowsoap1,1,2,1,1,5,1
83,olivesoap1,1,1,1,1,4,1
84,eraser3,1,1,4,1,3,1
85,dumpling3,4,6,5,1,3,0
86,wax2,2,2,2,1,4,1
87,peeledorange3,1,1,4,1,3,1
88,resin2,6,5,1,1,5,0
89,salmon5,1,6,4,1,4,0
90,selenite3,3,2,1,1,6,1
91,gummi30,3,6,6,1,2,0
92,marzipan3,1,2,2,1,5,1
93,glasschess1,6,1,2,1,5,0
94,orangewedge5,2,6,5,1,2,1
95,peeledpumkin4,1,3,3,1,4,1
96,dragonfruit7,1,6,5,1,3,0
97,beewax12,1,5,2,1,5,1
98,fluorite1,3,6,2,1,4,0
99,bronzehead,2,6,1,1,5,0
100,beewax8,1,4,2,1,4,1
101,egg6,1,3,6,1,2,1
102,jade11,3,1,2,1,3,1
103,cheesewaxBB,1,1,2,1,4,1
104,lucitefruit3,3,6,3,1,2,0
105,bluejelly,2,5,1,1,3,0
106,tulumba4,1,4,6,1,2,0
107,eggyolk8,1,6,6,1,2,0
108,caramelcandy1,1,6,3,1,4,0
109,lucitefruit1,5,6,1,1,5,0
110,frostedglass2,4,2,1,1,3,0
111,brownrock,1,1,1,1,5,1
112,dragonfruit4,2,5,5,1,3,0
113,toy1,1,1,3,1,5,1
114,toy2BB,1,1,3,1,2,1
115,marshmallow2,1,1,6,1,1,1
116,maripan1,1,1,2,1,5,1
117,tarsoap1,1,1,1,1,6,1
118,mochi11,1,1,5,1,3,1
119,wood14,1,2,1,1,5,1
120,frostedglass3,4,2,2,1,4,0
121,Scallops3,1,4,4,1,2,1
122,carrotslice1,1,1,1,1,5,0
123,JellyMooncake1,5,6,5,1,3,0
124,meat1BB,1,2,3,1,4,1
125,cheese7,1,6,2,1,4,1
126,ambersoap,3,3,3,1,3,0
127,honeycomb3,3,6,4,1,2,0
128,cheesekeycap,1,3,3,1,4,1
129,marble3,1,4,1,1,5,1
130,SlicedBanana2,1,5,6,1,3,1
131,waxcube3,2,1,1,1,5,0
132,mantou1,1,4,5,1,2,1
133,fudge4,1,2,1,1,5,1
134,raspberry3,1,5,6,1,3,0
135,butter1,1,1,4,1,5,1
136,tofu2,1,4,6,1,2,1
137,hamslice2,1,1,5,1,4,1
138,bearBB,5,6,6,1,3,0
139,cheesewax4,1,2,4,1,3,1
140,avacado6,1,4,5,1,3,1
141,ivory2,1,2,1,1,5,1
142,jello2,5,5,4,1,2,0
143,quartz64,1,6,1,1,6,1
144,turnipslice1,3,1,4,1,2,0
145,pot3,1,1,1,1,6,1
146,palmivory3,2,4,2,1,3,0
147,soap3BB,1,1,1,1,4,1
148,clay11,1,1,2,1,4,1
149,whitejade3,3,6,4,1,4,0
150,beewax7,1,3,2,1,4,1
151,jade12,1,4,1,1,5,0
152,mangojelly3,2,5,3,1,3,0
153,marble1,1,6,1,1,5,1
154,glasschess3,6,6,1,1,5,0
155,jade5BB,3,6,1,1,4,0
156,beewax9,1,1,2,1,5,1
157,cheese12,1,1,4,1,3,1
158,seashell6,1,1,1,1,5,1
159,bowl1,1,4,4,1,3,1
160,tofu7,1,3,5,1,3,1
161,cheesecake4,1,3,4,1,4,1
162,peeledpumkin2,1,5,4,1,2,0
163,beewax4,1,1,3,1,3,1
164,metal17,1,4,1,1,6,1
165,icecream1,1,3,6,1,2,1
166,fishmeat1,1,3,4,1,3,1
167,PinkWax2,1,5,3,1,4,0
168,honeycandy2,3,4,2,1,4,0
169,metal8,1,2,1,1,6,1
170,pearl4,1,6,2,1,5,1
171,fluorite2,3,5,2,1,3,0
172,sulfursoap1,2,1,3,1,3,1
173,tuna4BB,1,2,4,1,3,1
174,cheesewax5,1,2,2,1,4,0
175,woodcube1,1,1,1,1,4,1
176,salmon3,1,3,4,1,3,1
177,jade13,2,6,2,1,4,1
178,sulfursoap2,1,2,2,1,5,1
179,fluorite4,3,2,2,1,4,0
180,sponge1,1,1,6,1,1,1
181,urethane1,1,3,1,1,4,1
182,resincube1,3,6,3,1,4,0
183,cheese16,1,1,3,1,3,1
184,beeswax1,1,2,1,1,5,1
185,cheese8,1,1,4,1,2,1
186,orangewedge1,3,6,5,1,3,0
187,pomegranate2,3,6,4,1,3,0
188,fishmeat5,1,5,4,1,3,0
189,glasschess2,4,1,1,1,5,0
190,rmeat3BB,1,4,3,1,4,1
191,sugarcube5,1,1,5,1,2,0
192,waxcube1,1,2,3,1,5,1
193,beewax6,1,1,2,1,5,1
194,meat5BB,1,6,3,1,3,0
195,sugarcube2,1,2,4,1,3,1
196,dougao1,1,5,6,1,2,1
197,mochi8,1,4,3,1,4,0
198,GlycerinSoap2,4,3,2,1,4,0
199,limesoap1,1,4,3,1,5,1
200,meat3BB,1,5,3,1,5,0
201,copper3,1,3,1,1,6,1
202,glycerin6,3,2,2,1,5,0
203,egg5,1,6,5,1,3,1
