,image_name,see_throughness,glossiness,softness,glow,density,label
0,palmivory4,1,5,6,4,4,1
1,soywax2,1,2,4,3,5,1
2,grapefruit5,1,3,1,6,3,1
3,soapBB,1,2,2,1,6,1
4,bun3,2,2,6,2,5,1
5,JellyMooncake6,1,4,2,4,5,1
6,caramelcandy5,1,6,3,3,6,1
7,greencrystal,3,4,1,3,2,1
8,bronze1,1,3,1,6,6,1
9,selenite2,3,4,1,6,6,1
10,shrimp1,1,1,1,3,5,1
11,quartz10BB,3,5,1,5,6,1
12,ivory1,1,1,1,6,6,1
13,colorsoap2,1,4,3,3,6,1
14,wax14,1,2,4,3,4,1
15,peachslice2,1,3,5,4,4,1
16,yellowstone6BB,1,2,1,4,6,1
17,snowball3,1,3,6,4,4,1
18,quartz3,2,3,1,4,5,1
19,caviar2,2,3,6,3,4,1
20,glasscup1,6,1,1,2,4,0
21,resin3,2,3,2,3,4,1
22,PearlOnion2,1,2,3,3,4,1
23,sugarcube4,1,1,4,1,5,1
24,greensoap1,1,6,4,3,5,1
25,lightbulb1,5,5,2,3,4,0
26,soap7,1,5,6,4,5,1
27,dougao3,1,3,6,4,3,1
28,peeledlemon3,1,2,2,3,4,1
29,wax13,1,6,4,3,4,1
30,metal14,1,1,1,5,3,1
31,sweetpotato1,1,1,4,2,4,1
32,ice6,1,2,1,1,6,1
33,baozi2,1,2,6,3,4,1
34,glycerin4,1,2,6,1,5,0
35,mangojelly5,2,3,3,1,4,1
36,egg7,1,6,5,3,4,1
37,mochi17,1,4,6,2,5,1
38,fishmeat7,1,1,2,1,3,1
39,turnipslice2,1,2,2,2,4,1
40,plasticgear1,1,3,1,3,6,1
41,cream4,1,3,6,3,1,1
42,tuna2,1,2,4,4,4,1
43,ice2,1,2,4,3,4,1
44,marshmallow5,1,3,6,4,3,1
45,fishmeat6,1,1,3,1,3,1
46,lemonwedge4,1,6,3,6,4,1
47,choppedpotato3,1,5,3,4,6,1
48,keycap2,1,6,3,5,5,1
49,persimmon1,1,6,3,3,4,1
50,peeledpeach2,1,6,1,3,5,1
51,tarsoap2,1,1,1,1,6,1
52,DragonfruitJelly2,1,6,4,4,5,1
53,tuna11,1,3,3,3,5,1
54,steelcube,1,2,1,2,6,1
55,cantaloupe1,1,2,5,4,4,1
56,concrete2,1,1,1,2,6,1
57,tofu6,1,4,6,4,2,1
58,towel3,1,1,3,2,6,1
59,copperBB,1,1,1,1,6,1
60,pickle1,1,6,2,1,4,1
61,ice5,1,6,6,6,3,1
62,sweetpotato3,1,2,1,2,6,1
63,GlycerinSoap3,4,4,1,5,4,1
64,quartz77,4,6,1,6,4,1
65,DriedCantaloupe4,1,2,1,3,3,1
66,marblestatue2,1,2,1,6,6,1
67,honeydew2,1,3,2,3,4,1
68,tire1,1,1,1,1,6,1
69,tulumba1,1,6,2,1,4,1
70,meat10,1,2,1,3,5,1
71,cocoon2,1,1,1,1,4,1
72,mochi13,1,5,6,4,4,1
73,pineapple5,1,2,3,6,5,1
74,tuna10BB,1,1,2,3,4,1
75,honeycomb4,3,6,6,6,4,0
76,peeledpeach1,1,6,1,4,4,1
77,ceramic3,1,3,1,2,4,1
78,honeysoap1,2,6,4,4,4,1
79,snowbow2,1,1,2,3,3,1
80,kiwi7,1,3,2,3,2,1
81,onion1,1,2,1,3,3,1
82,yellowsoap1,1,4,2,4,4,1
83,olivesoap1,1,3,1,4,3,1
84,eraser3,1,1,3,1,4,1
85,dumpling3,1,2,3,3,3,1
86,wax2,1,3,2,1,6,1
87,peeledorange3,1,3,2,3,3,0
88,resin2,1,6,1,4,6,1
89,salmon5,1,5,2,3,4,1
90,selenite3,2,6,2,6,5,1
91,gummi30,1,6,2,2,5,1
92,marzipan3,1,2,2,4,4,1
93,glasschess1,2,4,1,4,5,1
94,orangewedge5,1,6,2,4,4,1
95,peeledpumkin4,1,1,6,2,2,1
96,dragonfruit7,1,5,2,3,2,1
97,beewax12,1,3,3,3,4,1
98,fluorite1,2,4,2,3,4,0
99,bronzehead,1,4,1,3,6,1
100,beewax8,1,1,1,3,4,1
101,egg6,1,1,5,3,4,1
102,jade11,2,3,4,4,4,1
103,cheesewaxBB,1,1,3,2,4,1
104,lucitefruit3,2,5,1,4,5,1
105,bluejelly,2,2,3,2,4,0
106,tulumba4,2,3,2,4,3,1
107,eggyolk8,1,3,4,3,3,1
108,caramelcandy1,2,3,2,5,3,1
109,lucitefruit1,1,1,3,2,4,0
110,frostedglass2,4,2,3,3,2,0
111,brownrock,2,4,4,3,3,1
112,dragonfruit4,3,4,2,4,4,1
113,toy1,1,4,4,2,3,1
114,toy2BB,3,3,2,4,4,1
115,marshmallow2,1,1,3,6,3,1
116,maripan1,1,4,2,3,3,1
117,tarsoap1,1,2,4,2,3,1
118,mochi11,1,1,6,4,3,1
119,wood14,1,3,2,4,3,1
120,frostedglass3,3,3,1,3,3,1
121,Scallops3,1,3,2,4,3,1
122,carrotslice1,1,3,3,4,3,1
123,JellyMooncake1,2,4,5,3,5,0
124,meat1BB,1,1,1,3,5,1
125,cheese7,1,4,2,6,4,1
126,ambersoap,1,3,4,5,3,1
127,honeycomb3,2,3,2,3,5,1
128,cheesekeycap,1,4,6,4,5,1
129,marble3,1,4,1,5,5,1
130,SlicedBanana2,1,3,3,2,4,1
131,waxcube3,1,3,2,2,5,1
132,mantou1,2,4,3,4,3,1
133,fudge4,1,4,5,4,5,1
134,raspberry3,1,4,4,6,3,1
135,butter1,1,2,3,3,2,1
136,tofu2,1,3,6,5,4,1
137,hamslice2,1,3,2,4,4,1
138,bearBB,3,6,3,5,5,0
139,cheesewax4,1,3,4,4,3,1
140,avacado6,1,2,3,2,5,1
141,ivory2,1,3,1,3,5,1
142,jello2,3,6,5,5,4,1
143,quartz64,1,6,1,6,4,1
144,turnipslice1,2,3,3,2,4,0
145,pot3,1,1,1,6,5,1
146,palmivory3,1,4,4,6,4,1
147,soap3BB,1,2,1,5,4,1
148,clay11,1,3,3,3,2,1
149,whitejade3,1,2,3,5,5,1
150,beewax7,1,3,2,6,4,1
151,jade12,1,6,5,3,5,1
152,mangojelly3,1,6,4,6,5,1
153,marble1,1,3,4,4,3,1
154,glasschess3,6,5,1,1,6,0
155,jade5BB,1,6,3,3,5,1
156,beewax9,1,2,4,3,5,1
157,cheese12,1,1,4,2,5,1
158,seashell6,1,1,1,5,5,1
159,bowl1,1,6,6,6,4,1
160,tofu7,1,5,6,4,5,1
161,cheesecake4,1,3,6,4,5,0
162,peeledpumkin2,1,4,4,3,5,1
163,beewax4,1,5,5,4,3,1
164,metal17,1,6,1,4,6,1
165,icecream1,1,2,6,3,5,1
166,fishmeat1,1,3,6,5,4,1
167,PinkWax2,1,5,6,6,6,1
168,honeycandy2,2,6,6,6,5,1
169,metal8,1,1,1,2,6,1
170,pearl4,1,6,1,6,5,1
171,fluorite2,4,6,1,6,5,0
172,sulfursoap1,1,4,6,6,6,1
173,tuna4BB,1,2,4,3,5,1
174,cheesewax5,1,3,5,4,5,1
175,woodcube1,1,3,1,3,4,1
176,salmon3,1,4,3,4,2,1
177,jade13,1,6,1,4,6,1
178,sulfursoap2,1,4,6,2,5,1
179,fluorite4,3,5,1,3,4,0
180,sponge1,1,1,2,6,4,1
181,urethane1,1,4,4,5,5,1
182,resincube1,5,5,6,4,5,0
183,cheese16,1,2,6,4,5,1
184,beeswax1,1,4,6,4,6,1
185,cheese8,1,4,5,4,5,1
186,orangewedge1,2,6,5,4,5,0
187,pomegranate2,1,4,4,3,5,0
188,fishmeat5,1,3,5,5,5,1
189,glasschess2,2,5,1,4,6,1
190,rmeat3BB,1,1,4,3,5,1
191,sugarcube5,1,4,2,5,3,1
192,waxcube1,1,4,4,5,5,1
193,beewax6,1,2,5,2,4,1
194,meat5BB,1,3,4,4,5,1
195,sugarcube2,1,1,5,2,3,1
196,dougao1,1,3,6,4,5,1
197,mochi8,1,4,6,4,6,1
198,GlycerinSoap2,3,6,1,5,4,1
199,limesoap1,1,2,6,6,6,1
200,meat3BB,1,2,3,5,4,1
201,copper3,1,1,1,2,3,1
202,glycerin6,3,5,5,6,4,0
203,egg5,1,6,6,4,5,1
204,beeswax3,1,4,4,4,6,1
205,wax4BB,1,6,5,6,5,1
206,tofu3,1,1,6,3,2,1
207,kiwi2,1,3,4,5,4,1
208,bread2,1,1,2,2,4,1
209,JellyMooncake5,1,6,2,4,5,1
210,seashell4,1,3,1,4,4,1
211,clay12,1,1,6,3,5,1
212,crystal3,1,6,1,4,5,1
213,watermelonchunk2,1,3,5,6,5,1
214,butter4,1,3,5,5,3,1
215,icecream5,1,3,6,4,3,1
216,dougao4,1,3,5,4,5,1
217,cheese14,1,3,4,3,4,1
218,brick12,1,3,4,2,3,1
219,honey1,1,6,2,3,4,1
220,quartz80,1,3,4,3,5,1
221,botryoidal1,1,6,3,5,5,1
222,rockcandy1,3,4,3,4,5,0
223,mochi1,2,4,1,5,4,1
224,wax3,1,3,4,4,4,1
225,cantaloupe3,1,3,5,3,5,1
226,spinach3,1,4,5,4,5,1
227,peeledlemon2,1,3,5,4,5,1
228,bowl6,1,1,1,5,5,1
229,strand1,1,1,1,2,5,1
230,metal13,1,4,1,6,3,1
231,mangojelly1,1,4,3,5,4,1
232,peeledlemon5,1,6,5,4,5,0
233,fluorite7,1,6,1,4,5,1
234,greenston2,1,6,1,4,5,0
235,cucumberslice2,1,1,4,3,5,1
236,PearlOnion3,1,4,2,4,5,1
237,onion4,1,3,3,4,5,1
238,pomegranate1,1,6,6,5,5,0
239,stickytoy1,1,6,1,4,6,1
240,fluorite6,1,6,1,5,5,0
241,cheese3,1,1,2,3,5,1
242,tofu5,1,3,5,3,5,1
243,cookie3,1,1,6,3,5,1
244,pineapple2,1,3,3,4,5,1
245,strawberry2,1,2,4,2,4,1
246,cookie2,1,1,2,1,4,1
247,grapefruit4,1,6,4,4,5,1
248,plastic1BB,1,3,3,4,4,1
249,fudge2,1,2,4,3,4,1
250,DriedCantaloupe3,1,6,3,4,5,1
251,soywax4,1,1,3,3,5,1
252,chocolate13,1,2,4,4,4,1
253,meat4BB,1,1,1,3,4,1
254,granite2,1,1,1,5,4,0
255,rockcandy2,3,4,1,4,5,0
256,cup14BB,1,1,1,6,6,1
257,jello5,1,3,4,5,6,1
258,greenstone1,1,4,1,4,5,1
259,soap8,1,6,4,5,5,1
260,fudge5,1,3,6,4,5,1
261,DragonfruitJelly1,1,6,3,5,5,1
262,choppedpotato2,1,3,4,6,5,1
263,pickleslice1,2,4,3,5,4,1
264,Angel3,1,5,1,4,4,1
265,palmivory1,1,3,4,3,5,1
266,rubber7,1,1,3,5,5,1
267,bluefluorite1,2,5,1,4,4,0
268,orange7,1,5,2,3,4,1
269,quartz54,1,6,1,4,4,1
270,pearl1,1,5,1,6,3,1
271,limeslice1,1,5,2,4,4,0
