,image_name,see_throughness,glossiness,softness,glow,density,label
0,palmivory4,2,5,2,5,5,1
1,soywax2,2,4,4,3,4,0
2,grapefruit5,2,6,2,5,6,0
3,soapBB,3,3,3,2,4,1
4,bun3,5,2,4,5,2,0
5,JellyMooncake6,2,5,2,5,4,0
6,caramelcandy5,3,4,4,4,3,0
7,greencrystal,6,3,3,5,4,0
8,bronze1,1,6,2,5,5,1
9,selenite2,2,3,2,4,6,1
10,shrimp1,4,5,5,4,3,0
11,quartz10BB,5,2,3,4,5,0
12,ivory1,1,5,3,2,5,1
13,colorsoap2,2,4,2,2,5,1
14,wax14,4,4,3,4,4,0
15,peachslice2,2,5,4,3,3,1
16,yellowstone6BB,4,4,4,4,4,0
17,snowball3,1,5,2,3,5,1
18,quartz3,4,3,3,3,5,0
19,caviar2,4,5,5,4,3,0
20,glasscup1,6,5,2,4,4,0
21,resin3,4,4,3,5,5,0
22,PearlOnion2,2,5,3,2,3,1
23,sugarcube4,2,4,3,3,5,1
24,greensoap1,5,5,5,4,4,0
25,lightbulb1,3,3,3,3,4,0
26,soap7,2,5,4,2,4,0
27,dougao3,2,5,4,3,4,0
28,peeledlemon3,3,3,3,4,5,0
29,wax13,2,4,3,4,2,0
30,metal14,1,6,3,3,5,1
31,sweetpotato1,2,4,3,3,5,1
32,ice6,4,4,1,5,5,0
33,baozi2,2,5,5,4,3,1
34,glycerin4,4,3,3,4,2,0
35,mangojelly5,4,3,3,4,4,0
36,egg7,3,4,5,4,3,0
37,mochi17,3,2,3,4,4,0
38,fishmeat7,3,5,2,5,4,0
39,turnipslice2,2,5,2,4,5,1
40,plasticgear1,2,5,3,4,5,1
41,cream4,1,4,4,2,5,1
42,tuna2,3,4,5,5,4,0
43,ice2,4,3,4,5,3,0
44,marshmallow5,1,3,4,2,5,1
45,fishmeat6,4,2,4,3,3,0
46,lemonwedge4,3,5,2,5,4,0
47,choppedpotato3,2,4,3,4,5,1
48,keycap2,1,4,5,3,3,0
49,persimmon1,2,4,4,4,4,0
50,peeledpeach2,2,5,5,3,4,0
51,tarsoap2,1,2,2,3,5,1
52,DragonfruitJelly2,3,5,4,5,4,0
53,tuna11,4,5,5,4,3,0
54,steelcube,1,4,2,3,5,1
55,cantaloupe1,3,5,4,4,2,0
56,concrete2,1,5,3,3,5,1
57,tofu6,1,4,4,2,2,1
58,towel3,1,3,4,2,3,1
59,copperBB,1,4,2,3,5,1
60,pickle1,1,4,2,3,4,1
61,ice5,3,5,4,4,3,0
62,sweetpotato3,2,5,4,4,4,1
63,GlycerinSoap3,5,4,4,5,3,0
64,quartz77,5,4,3,5,4,0
65,DriedCantaloupe4,3,5,4,4,3,0
66,marblestatue2,1,5,4,4,5,1
67,honeydew2,2,4,3,3,5,1
68,tire1,1,4,2,2,5,1
69,tulumba1,2,4,4,3,5,0
70,meat10,1,4,5,4,4,1
71,cocoon2,3,3,4,3,5,1
72,mochi13,3,4,5,3,4,1
73,pineapple5,2,5,2,3,5,1
74,tuna10BB,2,3,5,3,4,0
75,honeycomb4,3,5,4,5,5,0
76,peeledpeach1,2,4,5,4,3,0
77,ceramic3,1,5,3,3,5,1
78,honeysoap1,5,3,4,5,4,0
79,snowbow2,2,3,4,2,5,1
80,kiwi7,2,4,4,3,3,0
81,onion1,2,5,2,2,4,0
82,yellowsoap1,3,5,5,2,3,1
83,olivesoap1,2,4,2,2,5,1
84,eraser3,1,3,5,2,5,1
85,dumpling3,4,4,4,4,3,0
86,wax2,3,3,2,4,3,0
87,peeledorange3,3,5,5,4,2,0
88,resin2,2,5,2,4,6,1
89,salmon5,3,5,4,2,4,0
90,selenite3,4,5,2,4,5,0
91,gummi30,3,4,4,5,3,0
92,marzipan3,2,5,3,2,5,1
93,glasschess1,5,3,2,4,5,0
94,orangewedge5,5,4,2,4,5,0
95,peeledpumkin4,1,3,2,2,4,0
96,dragonfruit7,2,4,5,2,4,0
97,beewax12,2,5,2,3,5,0
98,fluorite1,5,4,2,4,5,0
99,bronzehead,1,4,2,2,6,1
100,beewax8,2,4,2,2,5,1
101,egg6,2,5,4,4,3,1
102,jade11,3,5,5,5,3,0
103,cheesewaxBB,2,4,4,3,2,1
104,lucitefruit3,4,5,5,5,3,0
105,bluejelly,2,4,2,4,5,0
106,tulumba4,2,4,4,3,5,1
107,eggyolk8,2,4,5,3,5,0
108,caramelcandy1,2,5,4,3,4,1
109,lucitefruit1,4,4,5,4,2,0
110,frostedglass2,2,3,5,5,3,0
111,brownrock,1,4,2,2,5,1
112,dragonfruit4,2,4,3,4,4,0
113,toy1,2,5,3,4,3,0
114,toy2BB,2,2,3,3,3,0
115,marshmallow2,1,4,5,3,5,1
116,maripan1,1,2,3,2,4,1
117,tarsoap1,1,3,2,2,5,1
118,mochi11,2,4,3,4,3,1
119,wood14,1,3,2,2,4,1
120,frostedglass3,4,3,4,4,3,0
121,Scallops3,2,4,5,4,3,0
122,carrotslice1,1,4,3,3,5,1
123,JellyMooncake1,3,5,3,4,3,0
124,meat1BB,1,5,4,4,4,1
125,cheese7,2,5,5,3,5,0
126,ambersoap,3,4,5,5,3,0
127,honeycomb3,3,5,4,5,4,0
128,cheesekeycap,1,4,3,3,4,0
129,marble3,1,6,4,3,6,1
130,SlicedBanana2,2,3,2,4,2,0
131,waxcube3,3,4,4,5,2,0
132,mantou1,1,5,4,2,5,1
133,fudge4,1,4,3,2,5,1
134,raspberry3,2,5,3,4,5,0
135,butter1,1,4,3,2,5,1
136,tofu2,1,4,3,3,5,1
137,hamslice2,1,4,3,4,5,1
138,bearBB,3,4,3,4,2,0
139,cheesewax4,1,2,3,2,5,1
140,avacado6,2,3,4,3,5,1
141,ivory2,2,5,4,3,5,1
142,jello2,5,3,4,4,3,0
143,quartz64,2,4,2,4,5,0
144,turnipslice1,3,3,2,3,4,0
145,pot3,1,4,3,3,5,1
146,palmivory3,2,4,3,3,4,0
147,soap3BB,2,4,3,4,2,0
148,clay11,1,3,4,2,5,1
149,whitejade3,3,5,3,4,4,0
150,beewax7,2,4,3,4,3,0
151,jade12,3,4,3,4,4,0
152,mangojelly3,4,4,2,3,4,0
153,marble1,2,5,4,3,5,1
154,glasschess3,5,4,2,4,3,0
155,jade5BB,2,4,3,3,4,0
156,beewax9,2,2,3,2,3,0
157,cheese12,2,3,2,2,5,1
158,seashell6,1,4,2,2,5,1
159,bowl1,1,5,4,3,3,1
160,tofu7,1,2,3,2,3,1
161,cheesecake4,1,4,3,3,4,1
162,peeledpumkin2,2,4,2,3,4,0
163,beewax4,1,4,2,2,4,1
164,metal17,1,4,2,2,4,1
165,icecream1,1,2,1,2,4,1
166,fishmeat1,2,4,5,4,3,1
167,PinkWax2,3,4,5,4,2,0
168,honeycandy2,2,4,4,3,4,0
169,metal8,3,4,2,4,5,1
170,pearl4,1,5,4,3,5,1
