Trial_num,image_path,image_name,object_type
Trial # 35/300,Object2/GlycerinSoap/glycerin4.jpg,glycerin4,GlycerinSoap
Trial # 36/300,Object2/mangojelly/mangojelly5.jpg,mangojelly5,mangojelly
Trial # 37/300,Object2/egg/egg7.jpg,egg7,egg
Trial # 38/300,Object2/mochi/mochi17.jpg,mochi17,mochi
Trial # 39/300,Object2/fishmeat/fishmeat7.jpg,fishmeat7,fishmeat
Trial # 40/300,Object2/turnipslice/turnipslice2.jpg,turnipslice2,turnipslice
Trial # 41/300,Object2/plasticgear/plasticgear1.jpg,plasticgear1,plasticgear
Trial # 42/300,Object2/cream/cream4.jpg,cream4,cream
Trial # 43/300,Object2/tuna/tuna2.jpg,tuna2,tuna
Trial # 44/300,Object2/ice/ice2.jpg,ice2,ice
Trial # 45/300,Object2/marshmallow/marshmallow5.jpg,marshmallow5,marshmallow
Trial # 46/300,Object2/fishmeat/fishmeat6.jpg,fishmeat6,fishmeat
Trial # 47/300,Object2/LemonWedge/lemonwedge4.jpg,lemonwedge4,LemonWedge
Trial # 48/300,Object2/choppedpotato/choppedpotato3.jpg,choppedpotato3,choppedpotato
Trial # 49/300,Object2/plastic/keycap2.jpg,keycap2,plastic
Trial # 50/300,Object2/parsimmon/persimmon1.jpg,persimmon1,parsimmon
Trial # 51/300,Object2/peeledpeach/peeledpeach2.jpg,peeledpeach2,peeledpeach
Trial # 52/300,Object2/soaps/tarsoap2.jpg,tarsoap2,soaps
Trial # 53/300,Object2/DragonfruitJelly/DragonfruitJelly2.jpg,DragonfruitJelly2,DragonfruitJelly
Trial # 54/300,Object2/tuna/tuna11.jpg,tuna11,tuna
Trial # 55/300,Object2/steel/steelcube.jpg,steelcube,steel
Trial # 56/300,Object2/cantaloupe/cantaloupe1.jpg,cantaloupe1,cantaloupe
Trial # 57/300,Object2/concrete/concrete2.jpg,concrete2,concrete
Trial # 58/300,Object2/tofu/tofu6.jpg,tofu6,tofu
Trial # 59/300,Object2/towel/towel3.jpg,towel3,towel
Trial # 60/300,Object2/copper/copperBB.jpg,copperBB,copper
Trial # 61/300,Object2/pickle/pickle1.jpg,pickle1,pickle
Trial # 62/300,Object2/ice/ice5.jpg,ice5,ice
Trial # 63/300,Object2/sweetpotato/sweetpotato3.jpg,sweetpotato3,sweetpotato
Trial # 64/300,Object2/GlycerinSoap/GlycerinSoap3.jpg,GlycerinSoap3,GlycerinSoap
Trial # 65/300,Object2/quartz/quartz77.jpg,quartz77,quartz
Trial # 66/300,Object2/DriedCantaloupe/DriedCantaloupe4.jpg,DriedCantaloupe4,DriedCantaloupe
Trial # 67/300,Object2/marble/marblestatue2.jpg,marblestatue2,marble
Trial # 68/300,Object2/honeydew/honeydew2.jpg,honeydew2,honeydew
Trial # 69/300,Object2/ruber/tire1.jpg,tire1,ruber
Trial # 70/300,Object2/tulumba/tulumba1.jpg,tulumba1,tulumba
Trial # 71/300,Object2/meat/meat10.jpg,meat10,meat
Trial # 72/300,Object2/cocoon/cocoon2.jpg,cocoon2,cocoon
Trial # 73/300,Object2/mochi/mochi13.jpg,mochi13,mochi
Trial # 74/300,Object2/pineapple/pineapple5.jpg,pineapple5,pineapple
Trial # 75/300,Object2/tuna/tuna10BB.jpg,tuna10BB,tuna
Trial # 76/300,Object2/honeycomb/honeycomb4.jpg,honeycomb4,honeycomb
Trial # 77/300,Object2/peeledpeach/peeledpeach1.jpg,peeledpeach1,peeledpeach
Trial # 78/300,Object2/ceramic/ceramic3.jpg,ceramic3,ceramic
Trial # 79/300,Object2/soaps/honeysoap1.jpg,honeysoap1,soaps
Trial # 80/300,Object2/snowball/snowbow2.jpg,snowbow2,snowball
Trial # 81/300,Object2/kiwi/kiwi7.jpg,kiwi7,kiwi
