Trial_num,image_path,image_name,object_type
Trial # 180/300,Object2/plasticfruit/plastic7BB.jpg,plastic7BB,plasticfruit
Trial # 181/300,Object2/DriedCantaloupe/DriedCantaloupe3.jpg,DriedCantaloupe3,DriedCantaloupe
Trial # 182/300,Object2/cheese/cheese16.jpg,cheese16,cheese
Trial # 183/300,Object2/bread/bread2.jpg,bread2,bread
Trial # 184/300,Object2/peeledpumkin/peeledpumkin4.jpg,peeledpumkin4,peeledpumkin
Trial # 185/300,Object2/tofu/tofu2.jpg,tofu2,tofu
Trial # 186/300,Object2/soaps/colorsoap2.jpg,colorsoap2,soaps
Trial # 187/300,Object2/DriedCantaloupe/DriedCantaloupe4.jpg,DriedCantaloupe4,DriedCantaloupe
Trial # 188/300,Object2/peachslice/peachslice2.jpg,peachslice2,peachslice
Trial # 189/300,Object2/marble/marble3.jpg,marble3,marble
Trial # 190/300,Object2/brick/brick12.jpg,brick12,brick
Trial # 191/300,Object2/dougao/dougao4.jpg,dougao4,dougao
Trial # 192/300,Object2/honeycandy/honey1.jpg,honey1,honeycandy
Trial # 193/300,Object2/copper/copper3.jpg,copper3,copper
Trial # 194/300,Object2/soaps/wax13.jpg,wax13,soaps
Trial # 195/300,Object2/selenite/selenite2.jpg,selenite2,selenite
Trial # 196/300,Object2/jade/jade5BB.jpg,jade5BB,jade
Trial # 197/300,Object2/cheese/cheese12.jpg,cheese12,cheese
Trial # 198/300,Object2/cantaloupe/cantaloupe3.jpg,cantaloupe3,cantaloupe
Trial # 199/300,Object2/pickle/pickle1.jpg,pickle1,pickle
Trial # 200/300,Object2/soaps/limesoap1.jpg,limesoap1,soaps
Trial # 201/300,Object2/DragonfruitJelly/DragonfruitJelly1.jpg,DragonfruitJelly1,DragonfruitJelly
Trial # 202/300,Object2/bronze/bronze1.jpg,bronze1,bronze
Trial # 203/300,Object2/soaps/honeysoap1.jpg,honeysoap1,soaps
Trial # 204/300,Object2/tofu/tofu11.jpg,tofu11,tofu
Trial # 205/300,Object2/soaps/ambersoap.jpg,ambersoap,soaps
Trial # 206/300,Object2/tooth/tooth3.jpg,tooth3,tooth
Trial # 207/300,Object2/stone/greenstone1.jpg,greenstone1,stone
Trial # 208/300,Object2/scallops/Scallops2.jpg,Scallops2,scallops
Trial # 209/300,Object2/FrostedGlass/frostedglass3.jpg,frostedglass3,FrostedGlass
Trial # 210/300,Object2/kiwi/kiwi2.jpg,kiwi2,kiwi
Trial # 211/300,Object2/gummi/bearBB.jpg,bearBB,gummi
Trial # 212/300,Object2/turnipslice/turnipslice1.jpg,turnipslice1,turnipslice
Trial # 213/300,Object2/marzipan/marzipan3.jpg,marzipan3,marzipan
Trial # 214/300,Object2/tuna/tuna4BB.jpg,tuna4BB,tuna
Trial # 215/300,Object2/wax/wax3.jpg,wax3,wax
Trial # 216/300,Object2/meat/meat1BB.jpg,meat1BB,meat
Trial # 217/300,Object2/waffle/waffle3.jpg,waffle3,waffle
Trial # 218/300,Object2/choppedpotato/choppedpotato2.jpg,choppedpotato2,choppedpotato
Trial # 219/300,Object2/sweetpotato/sweetpotato3.jpg,sweetpotato3,sweetpotato
Trial # 220/300,Object2/OrangeWedge/orangewedge5.jpg,orangewedge5,OrangeWedge
Trial # 221/300,Object2/soaps/greensoap1.jpg,greensoap1,soaps
Trial # 222/300,Object2/ice/ice5.jpg,ice5,ice
Trial # 223/300,Object2/GlycerinSoap/glycerin5.jpg,glycerin5,GlycerinSoap
Trial # 224/300,Object2/sugarcube/sugarcube5.jpg,sugarcube5,sugarcube
Trial # 225/300,Object2/jade/jade11.jpg,jade11,jade
