quartz77,quartz10BB,bluefluorite1,quartz64,greencrystal,crystal3,fluorite6,quartz3,fluorite4,quartz80,quartz54,selenite3,yellowstone6BB,jade13,botryoidal2,fluorite7,jade5BB,fluorite2,botryoidal1,whitejade3,jade12,jade11,fluorite1,Angel3,selenite2
0,0,0,0,1,1,2,2,2,3,3,3,3,4,5,5,5,7,7,8,9,9,10,11,11
6,2,1,1,8,3,4,4,5,3,5,5,5,7,11,10,11,9,12,11,11,12,14,12,12
