,image_name,see_throughness,glossiness,softness,glow,density,label
0,palmivory4,1,4,5,1,2,1
1,soywax2,1,3,5,1,3,1
2,grapefruit5,5,3,2,2,5,1
3,soapBB,5,1,1,1,6,1
4,bun3,6,1,6,2,3,1
5,JellyMooncake6,5,3,2,1,6,1
6,caramelcandy5,2,1,6,1,5,1
7,greencrystal,6,4,1,4,6,0
8,bronze1,1,6,1,1,6,1
9,selenite2,1,6,1,1,6,1
10,shrimp1,3,1,5,2,4,0
11,quartz10BB,4,5,1,4,6,0
12,ivory1,1,1,5,1,6,1
13,colorsoap2,1,1,1,1,6,1
14,wax14,5,2,5,1,2,1
15,peachslice2,5,2,6,1,2,1
16,yellowstone6BB,4,3,1,1,5,1
17,snowball3,4,1,5,5,3,1
18,quartz3,5,3,1,3,6,0
19,caviar2,6,4,6,3,2,0
20,glasscup1,6,6,1,1,6,0
21,resin3,5,3,1,1,5,0
22,PearlOnion2,2,2,4,1,4,1
23,sugarcube4,1,1,4,1,3,1
24,greensoap1,4,4,5,1,3,1
25,lightbulb1,6,6,1,5,2,0
26,soap7,2,1,6,1,3,1
27,dougao3,3,3,5,1,4,1
28,peeledlemon3,4,2,5,1,3,1
29,wax13,4,2,5,1,4,1
30,metal14,1,5,5,1,5,1
31,sweetpotato1,1,2,5,1,5,1
32,ice6,3,2,1,1,6,1
33,baozi2,4,1,6,1,4,1
34,glycerin4,5,1,6,1,3,0
35,mangojelly5,5,1,5,1,3,1
36,egg7,2,4,6,1,3,1
37,mochi17,2,1,1,1,5,1
38,fishmeat7,1,3,2,1,6,1
39,turnipslice2,3,2,5,1,3,1
40,plasticgear1,3,2,1,1,5,1
41,cream4,2,3,6,1,2,1
42,tuna2,3,2,5,1,4,1
43,ice2,1,2,6,1,3,1
44,marshmallow5,4,1,1,1,2,1
45,fishmeat6,3,3,5,1,4,0
46,lemonwedge4,4,2,4,1,3,0
47,choppedpotato3,3,2,4,1,4,1
48,keycap2,1,3,6,1,4,1
49,persimmon1,3,3,5,1,4,1
50,peeledpeach2,2,5,5,1,4,1
51,tarsoap2,1,1,1,1,6,1
52,DragonfruitJelly2,4,3,5,1,3,0
53,tuna11,4,1,6,1,3,0
54,steelcube,1,6,2,1,5,1
55,cantaloupe1,2,2,6,1,2,1
56,concrete2,1,1,1,1,5,1
57,tofu6,2,3,6,1,2,1
58,towel3,2,1,5,1,2,1
59,copperBB,1,1,1,1,5,1
60,pickle1,2,4,5,1,4,1
61,ice5,4,3,6,1,4,1
62,sweetpotato3,1,3,5,1,4,1
63,GlycerinSoap3,5,2,6,1,3,0
64,quartz77,5,6,2,3,5,0
65,DriedCantaloupe4,5,1,6,1,2,0
66,marblestatue2,1,1,1,1,6,1
67,honeydew2,2,2,5,1,4,1
68,tire1,2,1,3,1,4,1
69,tulumba1,2,4,5,1,3,1
70,meat10,1,1,4,1,4,1
71,cocoon2,2,1,4,1,2,1
72,mochi13,3,3,6,1,4,1
73,pineapple5,3,3,4,1,4,1
74,tuna10BB,4,2,5,1,4,1
75,honeycomb4,3,4,5,1,6,0
76,peeledpeach1,2,4,5,1,4,1
77,ceramic3,1,3,1,1,6,1
78,honeysoap1,2,3,5,1,3,1
79,snowbow2,1,1,5,1,3,1
80,kiwi7,3,3,5,1,4,1
81,onion1,4,2,4,1,5,1
82,yellowsoap1,2,3,4,1,3,1
83,olivesoap1,1,1,1,1,6,1
84,eraser3,2,1,4,1,3,1
85,dumpling3,5,4,2,1,5,0
86,wax2,5,2,3,5,3,1
87,peeledorange3,5,3,5,1,3,1
88,resin2,5,5,1,4,5,0
89,salmon5,2,4,4,1,4,1
90,selenite3,4,3,1,4,6,0
91,gummi30,5,4,5,1,4,0
92,marzipan3,1,2,6,1,4,1
93,glasschess1,5,3,1,1,5,0
94,orangewedge5,3,5,5,1,4,1
95,peeledpumkin4,1,3,5,1,4,1
96,dragonfruit7,1,4,6,1,2,1
97,beewax12,1,2,5,1,5,1
98,fluorite1,4,3,1,1,5,0
99,bronzehead,1,3,1,1,5,1
100,beewax8,1,3,5,1,4,1
101,egg6,3,3,5,1,2,1
102,jade11,4,1,2,1,4,0
103,cheesewaxBB,1,1,2,1,6,1
104,lucitefruit3,5,4,1,5,3,0
105,bluejelly,2,3,1,2,5,0
106,tulumba4,3,2,6,1,2,1
107,eggyolk8,4,3,6,1,2,1
108,caramelcandy1,2,5,1,1,3,1
109,lucitefruit1,5,5,1,2,6,0
110,frostedglass2,4,3,2,3,5,0
111,brownrock,1,2,1,1,5,1
112,dragonfruit4,1,2,5,1,3,1
113,toy1,3,2,4,1,3,1
114,toy2BB,2,1,4,4,3,1
115,marshmallow2,4,1,6,1,2,1
116,maripan1,1,1,2,1,5,1
117,tarsoap1,1,1,2,1,5,1
118,mochi11,2,2,4,1,4,1
119,wood14,1,1,1,1,6,1
120,frostedglass3,4,2,1,3,4,0
121,Scallops3,2,3,5,1,4,1
122,carrotslice1,2,1,3,1,4,1
123,JellyMooncake1,3,3,2,1,4,0
124,meat1BB,2,1,5,1,4,1
125,cheese7,1,4,5,1,3,1
126,ambersoap,4,3,3,2,4,0
127,honeycomb3,4,4,5,3,3,0
128,cheesekeycap,1,3,4,1,5,1
129,marble3,2,4,1,1,6,1
130,SlicedBanana2,2,3,6,1,3,1
131,waxcube3,4,3,2,1,3,0
132,mantou1,3,1,6,1,2,1
133,fudge4,1,1,1,1,5,1
134,raspberry3,3,4,6,1,3,0
135,butter1,2,2,6,1,4,1
136,tofu2,1,4,6,1,4,1
137,hamslice2,2,2,4,1,5,1
138,bearBB,4,4,5,1,5,0
139,cheesewax4,1,2,5,1,5,1
140,avacado6,2,3,5,1,3,1
