,image_name,see_throughness,glossiness,softness,glow,density,label
0,palmivory4,2,5,3,1,2,1
1,soywax2,1,2,2,1,5,1
2,grapefruit5,4,6,3,2,1,0
3,soapBB,2,1,2,1,3,0
4,bun3,2,1,6,1,4,0
5,JellyMooncake6,2,5,5,2,3,0
6,caramelcandy5,1,1,6,2,5,0
7,greencrystal,6,5,1,4,5,0
8,bronze1,1,5,1,1,6,1
9,selenite2,3,3,1,1,3,0
10,shrimp1,2,4,5,2,2,0
11,quartz10BB,5,6,2,2,3,0
12,ivory1,1,2,2,1,3,1
13,colorsoap2,1,2,5,1,1,1
14,wax14,4,2,4,1,2,0
15,peachslice2,2,4,6,1,2,1
16,yellowstone6BB,3,5,1,1,4,0
17,snowball3,1,3,6,1,2,1
18,quartz3,4,4,2,1,5,0
19,caviar2,5,5,5,3,2,0
20,glasscup1,6,6,1,2,5,0
21,resin3,4,2,2,5,4,0
22,PearlOnion2,2,4,4,1,2,0
23,sugarcube4,1,1,2,1,2,1
24,greensoap1,3,3,4,2,2,0
25,lightbulb1,5,5,2,1,4,0
26,soap7,1,1,3,1,3,1
27,dougao3,1,2,5,1,2,1
28,peeledlemon3,3,1,2,3,2,0
29,wax13,2,3,3,1,2,0
30,metal14,1,4,3,1,3,1
31,sweetpotato1,1,2,3,1,2,1
32,ice6,2,1,1,1,2,0
33,baozi2,1,2,4,1,1,1
34,glycerin4,4,4,3,2,3,0
35,mangojelly5,3,2,3,1,3,0
36,egg7,2,5,3,1,3,1
37,mochi17,1,2,3,1,3,0
38,fishmeat7,2,3,4,1,1,1
39,turnipslice2,2,2,3,1,2,0
40,plasticgear1,2,4,2,1,3,0
41,cream4,1,2,6,1,1,0
42,tuna2,2,2,5,1,2,0
43,ice2,2,2,3,1,3,0
44,marshmallow5,1,1,5,1,1,1
45,fishmeat6,2,3,3,1,2,1
46,lemonwedge4,4,5,4,2,1,0
47,choppedpotato3,2,4,2,1,2,1
48,keycap2,2,5,5,1,2,0
49,persimmon1,3,3,3,1,3,0
50,peeledpeach2,3,5,4,1,4,0
51,tarsoap2,1,2,2,1,4,1
52,DragonfruitJelly2,4,5,5,2,3,0
53,tuna11,4,4,4,2,2,0
54,steelcube,1,2,1,1,6,1
55,cantaloupe1,1,3,4,1,3,1
56,concrete2,1,1,1,3,3,1
57,tofu6,1,3,6,1,1,1
58,towel3,1,1,4,1,2,1
59,copperBB,1,3,1,1,4,1
60,pickle1,1,4,3,1,3,1
61,ice5,2,3,5,1,1,0
62,sweetpotato3,1,3,2,1,4,1
63,GlycerinSoap3,5,3,1,3,4,0
64,quartz77,4,3,1,1,5,0
65,DriedCantaloupe4,3,3,3,1,4,0
66,marblestatue2,1,3,1,1,5,1
67,honeydew2,1,2,2,1,4,1
68,tire1,1,1,1,1,5,1
69,tulumba1,1,5,3,1,3,1
70,meat10,1,3,3,1,4,1
71,cocoon2,1,1,5,1,2,1
72,mochi13,2,4,4,1,4,0
73,pineapple5,1,4,3,1,3,1
74,tuna10BB,2,3,3,1,4,1
75,honeycomb4,4,4,4,2,4,0
76,peeledpeach1,3,5,4,1,3,0
77,ceramic3,1,5,1,1,5,1
78,honeysoap1,3,3,4,4,5,0
79,snowbow2,1,2,6,1,1,1
80,kiwi7,2,3,5,1,3,0
81,onion1,3,2,3,1,2,1
82,yellowsoap1,2,4,2,1,2,0
83,olivesoap1,1,2,3,1,3,1
84,eraser3,1,2,4,1,4,1
85,dumpling3,3,4,4,3,2,0
86,wax2,2,3,4,1,4,0
87,peeledorange3,2,2,4,1,3,0
88,resin2,4,6,1,1,5,0
89,salmon5,2,4,4,3,2,1
90,selenite3,3,1,1,3,4,0
91,gummi30,3,5,4,2,5,0
92,marzipan3,1,2,4,1,3,1
93,glasschess1,5,3,1,3,5,0
94,orangewedge5,3,4,4,1,2,0
95,peeledpumkin4,1,3,4,1,4,1
96,dragonfruit7,1,5,5,1,3,0
97,beewax12,2,4,3,1,4,0
98,fluorite1,4,4,2,1,4,0
99,bronzehead,3,3,5,1,4,0
100,beewax8,2,3,4,1,2,0
101,egg6,2,2,4,1,3,1
102,jade11,2,4,3,1,4,0
103,cheesewaxBB,1,2,4,1,2,1
104,lucitefruit3,4,6,2,2,5,0
105,bluejelly,2,2,2,1,3,0
106,tulumba4,2,1,4,1,3,1
107,eggyolk8,3,5,5,1,1,0
108,caramelcandy1,2,6,1,2,4,1
109,lucitefruit1,5,6,1,1,5,0
110,frostedglass2,4,3,1,3,4,0
111,brownrock,1,1,1,1,4,1
112,dragonfruit4,2,2,5,1,2,1
113,toy1,2,2,4,1,3,0
114,toy2BB,2,2,3,1,5,0
115,marshmallow2,1,1,6,1,1,1
116,maripan1,1,2,4,1,2,1
117,tarsoap1,1,2,4,1,2,1
118,mochi11,1,1,5,1,2,1
119,wood14,1,4,1,1,6,1
120,frostedglass3,4,3,2,4,5,0
121,Scallops3,2,3,4,1,2,0
122,carrotslice1,2,3,2,1,3,1
123,JellyMooncake1,4,5,3,4,5,0
124,meat1BB,1,2,3,1,3,1
125,cheese7,2,3,3,2,2,0
126,ambersoap,3,4,3,4,4,0
127,honeycomb3,4,5,4,3,2,0
128,cheesekeycap,2,3,4,1,2,0
129,marble3,2,4,1,1,6,1
130,SlicedBanana2,1,3,5,1,2,0
131,waxcube3,3,3,4,4,3,0
132,mantou1,1,4,3,1,3,1
133,fudge4,1,2,3,1,3,1
134,raspberry3,3,4,4,1,2,0
135,butter1,2,2,5,1,4,0
136,tofu2,1,5,6,1,2,1
137,hamslice2,2,2,4,1,2,1
138,bearBB,5,5,6,4,4,0
139,cheesewax4,1,4,4,1,2,1
140,avacado6,1,3,4,1,4,1
141,ivory2,1,3,1,1,5,1
142,jello2,5,4,2,1,3,0
143,quartz64,3,4,2,1,5,0
144,turnipslice1,4,2,3,1,3,0
145,pot3,1,2,1,1,4,1
146,palmivory3,2,4,3,1,5,0
147,soap3BB,2,2,4,1,2,0
148,clay11,1,3,3,1,4,1
149,whitejade3,3,4,1,1,5,0
150,beewax7,2,3,4,1,2,0
151,jade12,2,4,1,1,5,0
152,mangojelly3,3,2,4,1,3,0
153,marble1,2,5,4,1,3,1
154,glasschess3,6,6,1,1,5,0
155,jade5BB,2,6,1,1,5,0
156,beewax9,2,2,4,4,2,0
157,cheese12,1,2,4,1,3,1
158,seashell6,1,1,1,1,3,1
159,bowl1,1,3,1,1,4,1
160,tofu7,1,2,4,1,2,1
161,cheesecake4,1,1,4,1,2,1
162,peeledpumkin2,2,2,4,1,2,1
163,beewax4,1,2,4,1,3,1
164,metal17,1,3,1,1,6,1
165,icecream1,1,1,5,1,2,1
166,fishmeat1,2,2,4,1,2,1
167,PinkWax2,2,2,3,2,2,0
168,honeycandy2,4,1,3,1,2,0
169,metal8,1,1,1,1,4,1
170,pearl4,1,4,1,1,4,1
171,fluorite2,4,4,2,3,4,0
172,sulfursoap1,2,2,4,1,4,0
173,tuna4BB,2,2,4,1,3,1
174,cheesewax5,2,2,2,1,3,0
175,woodcube1,1,2,1,1,3,1
176,salmon3,2,2,2,1,3,1
177,jade13,2,6,1,1,5,0
178,sulfursoap2,1,3,4,1,5,1
179,fluorite4,5,2,1,3,5,0
180,sponge1,1,2,5,1,1,1
181,urethane1,2,2,3,1,5,0
182,resincube1,5,4,3,1,4,0
183,cheese16,1,2,5,1,3,1
184,beeswax1,2,2,4,1,4,0
185,cheese8,1,1,4,1,2,1
186,orangewedge1,4,5,4,1,2,0
187,pomegranate2,3,4,3,4,3,0
188,fishmeat5,2,2,3,1,3,0
189,glasschess2,3,2,3,3,5,0
190,rmeat3BB,1,1,3,1,2,1
191,sugarcube5,2,2,3,1,3,1
192,waxcube1,2,2,3,1,4,0
193,beewax6,1,2,2,1,4,1
194,meat5BB,1,5,4,1,3,1
195,sugarcube2,1,1,2,1,1,1
196,dougao1,1,3,5,1,2,1
197,mochi8,2,3,4,1,2,1
198,GlycerinSoap2,4,2,1,1,3,0
199,limesoap1,1,2,4,1,4,1
200,meat3BB,1,3,3,1,2,1
201,copper3,1,3,1,1,4,1
202,glycerin6,4,3,3,4,4,0
203,egg5,2,4,4,1,4,1
204,beeswax3,2,2,4,1,4,1
205,wax4BB,3,6,1,3,5,0
206,tofu3,1,2,5,1,2,1
207,kiwi2,2,4,3,1,3,0
208,bread2,1,1,5,1,1,1
209,JellyMooncake5,3,4,4,3,3,0
210,seashell4,1,3,1,1,5,1
211,clay12,1,2,5,1,4,1
212,crystal3,3,4,2,1,5,0
213,watermelonchunk2,2,2,4,1,2,0
214,butter4,1,2,5,1,3,1
215,icecream5,1,1,6,1,2,1
216,dougao4,2,3,5,1,2,1
217,cheese14,2,2,4,1,3,1
218,brick12,1,2,1,1,3,1
219,honey1,4,4,3,1,5,0
220,quartz80,3,3,1,1,6,0
221,botryoidal1,3,2,4,3,3,0
222,rockcandy1,5,3,1,3,5,0
223,mochi1,3,2,3,1,4,0
224,wax3,2,3,4,1,5,0
225,cantaloupe3,3,2,4,1,4,0
226,spinach3,1,2,4,1,2,1
227,peeledlemon2,3,2,4,4,3,0
228,bowl6,1,4,1,1,5,1
229,strand1,1,1,4,1,4,1
230,metal13,1,4,3,4,4,1
231,mangojelly1,4,3,3,1,3,0
232,peeledlemon5,2,2,4,1,2,0
233,fluorite7,3,3,2,3,6,0
234,greenston2,2,4,1,2,5,0
235,cucumberslice2,2,2,3,1,3,1
236,PearlOnion3,1,5,1,1,6,0
237,onion4,1,2,3,1,3,1
238,pomegranate1,2,6,2,1,4,0
239,stickytoy1,2,4,3,1,4,0
